Rudstone|has_carboante_grains_larger_than_2mm_more_than_10%|Embry_and_Klovans_classification_1971
Rudstone|has_grain_supported_texcture_of_carboante_grains(>2mm)|Embry_and_Klovans_classification_1971
Rudstone|in_scheme_of|Embry_and_Klovans_classification_1971
#
Grainstone|has_grain_supported_texcture|Dunhams_classification_1962
Grainstone|has_no_carboante_mud|Dunhams_classification_1962
Grainstone|has_carbonate_grain_more_than_10%|Dunhams_classification_1962
Grainstone|in_scheme_of|Dunhams_classification_1962
Grainstone|has_grain_supported_texcture|Embry_and_Klovans_classification_1971
Grainstone|has_no_carboante_mud|Embry_and_Klovans_classification_1971
Grainstone|has_carbonate_grain_more_than_10%|Embry_and_Klovans_classification_1971
Grainstone|has_carboante_grains_larger_than_2mm_less_than_10%|Embry_and_Klovans_classification_1971
Grainstone|in_scheme_of|Embry_and_Klovans_classification_1971
##
Boundstone|in_scheme_of|Dunhams_classification_1962
Boundstone|directed|Framestone
Boundstone|directed|Bafflestone
Boundstone|directed|Bindstone
Framestone|in_scheme_of|Embry_and_Klovans_classification_1971
Bafflestone|in_scheme_of|Embry_and_Klovans_classification_1971
Bindstone|in_scheme_of|Embry_and_Klovans_classification_1971
#
Cement_shape|quality_of|Cement
Content_of_cement|quality_of|Cement
Cement_fabric|quality_of|Cement
#
Cement_shape|directed|Acicular
Cement_shape|directed|Fibrous
Cement_shape|directed|Botryoidal
Cement_shape|directed|Radiaxial_fibrous
Cement_shape|directed|Dog_tooth
Cement_shape|directed|Bladed
Cement_shape|directed|Meniscus
Cement_shape|directed|Drusy
Cement_shape|directed|Granular
Cement_shape|directed|Blocky
Cement_shape|directed|Syntaxial_overgrowth
Cement_shape|directed|Peloidal_microcrystalline
Cement_shape|directed|Microcrystalline_or_micrite
#
Cement_fabric|directed|Dripstone
Cement_fabric|directed|Bladed
#
Carbonate_factory|directed|T_factory
Carbonate_factory|directed|M_factory
Carbonate_factory|directed|C_factory
#
Carbonate_Grains|synonymous_with|Allochems
Carbonate_Grains|directed|Skeletal_grains
Carbonate_Grains|directed|Non_skeletal_grain
Grain_fabric|quality_of|Carbonate_Grains
Roundness|quality_of|Carbonate_Grains
#
Skeletal_grains|synonymous_with|Bioclast
Skeletal_grains|directed|Cynobacteria
Skeletal_grains|directed|Calcareous_algae
Skeletal_grains|directed|Foraminifer
Skeletal_grains|directed|Calciphere
Skeletal_grains|directed|Calpionellid
Skeletal_grains|directed|Dinoflagellates
Skeletal_grains|directed|Tentaculitid
Skeletal_grains|directed|Serpulid
Skeletal_grains|directed|Archaeocyath
Skeletal_grains|directed|Sponge
Skeletal_grains|directed|Stromatoporoid
Skeletal_grains|directed|Coral
Skeletal_grains|directed|Bryozoan
Skeletal_grains|directed|Brachipod
Skeletal_grains|directed|Mollusk
Skeletal_grains|directed|Echinoderms
Skeletal_grains|directed|Arthropod
Skeletal_grains|directed|Condont
#
Calcareous_algae|directed|Green_algae
Calcareous_algae|directed|Red_alage
#
Green_algae|directed|Udoteacean_green_algae
Green_algae|directed|Gymnocodiacean_algae
Green_algae|directed|Phylloid_algae
Green_algae|directed|Dasyclad_greenalgae
#
Red_alage|directed|Corallinacean_red_alage
Red_alage|directed|Peyssoneliacean_red_alage
Red_alage|directed|Solenoporacean_red_alage
Red_alage|directed|Ancestral_red_alage
#
Foraminifer|directed|Benthic_foraminifer
Foraminifer|directed|Planktonic_foraminifer
#
Coral|directed|Tabulate_coral
Coral|directed|Rugose_coral
Coral|directed|Scleractinian_coral
Coral|directed|Octocoral
#
Mollusk|directed|Gastropod
Mollusk|directed|Bivavle
Mollusk|directed|Cephalopod
Mollusk|directed|Scaphopod
#
Echinoderms|directed|Echinoid
Echinoderms|directed|Crinoid
#
Arthropod|directed|Trilobite
Arthropod|directed|Ostracode
Arthropod|directed|Barnacle
#
Non_skeletal_grain|directed|Peloid
